Date,Open,High,Low,Close,Vol
10/05/2013 00:00,0.94954,0.96277,0.94758,0.95671,166312
12/05/2013 00:00,0.95847,0.95955,0.95797,0.95866,8588
13/05/2013 00:00,0.95867,0.95952,0.95469,0.95625,143669
14/05/2013 00:00,0.95625,0.96741,0.95208,0.96529,168381
15/05/2013 00:00,0.9653,0.97473,0.96424,0.96536,165064
16/05/2013 00:00,0.96539,0.97081,0.95777,0.9647,151472
17/05/2013 00:00,0.9647,0.97604,0.96364,0.97209,133355
19/05/2013 00:00,0.97003,0.97188,0.96861,0.97058,6218
20/05/2013 00:00,0.97059,0.97173,0.96476,0.96681,119968
21/05/2013 00:00,0.96681,0.97504,0.96549,0.96922,151256
22/05/2013 00:00,0.96923,0.98384,0.96787,0.98029,190252
23/05/2013 00:00,0.98027,0.98172,0.96328,0.97027,199801
24/05/2013 00:00,0.97027,0.97166,0.959,0.96129,140316
26/05/2013 00:00,0.96153,0.96246,0.96073,0.96172,7550
27/05/2013 00:00,0.96172,0.96475,0.9592,0.96298,82082
28/05/2013 00:00,0.96298,0.97802,0.96296,0.97709,150962
29/05/2013 00:00,0.97709,0.97899,0.95994,0.96132,186667
30/05/2013 00:00,0.96132,0.96505,0.9525,0.95361,176487
31/05/2013 00:00,0.95358,0.96244,0.9511,0.95476,162712
02/06/2013 00:00,0.95565,0.95807,0.95518,0.95695,8247
03/06/2013 00:00,0.95695,0.9624,0.94077,0.94777,163071
04/06/2013 00:00,0.94777,0.95199,0.94528,0.9483,157596
05/06/2013 00:00,0.9483,0.94933,0.93946,0.9422,171457
06/06/2013 00:00,0.9422,0.94385,0.92249,0.92953,188059
07/06/2013 00:00,0.92953,0.93737,0.9249,0.93587,177858
09/06/2013 00:00,0.9366,0.93769,0.9357,0.93736,7572
10/06/2013 00:00,0.93736,0.94182,0.9318,0.93433,146554
11/06/2013 00:00,0.93434,0.9349,0.92217,0.9252,177326
12/06/2013 00:00,0.9252,0.92863,0.91729,0.91985,161221
13/06/2013 00:00,0.91985,0.92584,0.91298,0.92344,183259
14/06/2013 00:00,0.92344,0.92696,0.91956,0.921,143057
16/06/2013 00:00,0.92117,0.9224,0.92075,0.92155,4291
17/06/2013 00:00,0.92155,0.92714,0.92144,0.92225,112557
18/06/2013 00:00,0.92223,0.9262,0.91756,0.92021,126896
19/06/2013 00:00,0.92021,0.93214,0.91799,0.92916,133863
20/06/2013 00:00,0.92918,0.93605,0.92507,0.92624,196011
21/06/2013 00:00,0.92625,0.93678,0.92416,0.93427,140877
23/06/2013 00:00,0.9361,0.93692,0.93484,0.93675,6840
24/06/2013 00:00,0.93675,0.93804,0.93122,0.93235,157778
25/06/2013 00:00,0.93236,0.94074,0.93187,0.93915,138510
26/06/2013 00:00,0.93915,0.94431,0.93724,0.94219,138245
27/06/2013 00:00,0.94219,0.94875,0.9406,0.94527,132099
28/06/2013 00:00,0.94529,0.94746,0.9411,0.94479,128778
30/06/2013 00:00,0.94557,0.94566,0.94378,0.94551,9090
01/07/2013 00:00,0.94551,0.95031,0.94389,0.94479,107618
02/07/2013 00:00,0.94479,0.95291,0.94464,0.9513,112836
03/07/2013 00:00,0.9513,0.95229,0.94466,0.94596,133096
04/07/2013 00:00,0.94597,0.95839,0.94597,0.95814,107767
05/07/2013 00:00,0.95816,0.96604,0.95649,0.96313,122552
07/07/2013 00:00,0.96527,0.96651,0.96488,0.96602,9250
08/07/2013 00:00,0.96602,0.96662,0.9625,0.9644,100300
09/07/2013 00:00,0.9644,0.97508,0.9637,0.97365,129961
10/07/2013 00:00,0.97365,0.97444,0.94042,0.94727,152344
11/07/2013 00:00,0.94722,0.95351,0.94105,0.94757,167907
12/07/2013 00:00,0.94754,0.95135,0.94381,0.9462,107370
14/07/2013 00:00,0.94507,0.94684,0.94492,0.94672,4144
15/07/2013 00:00,0.94671,0.95339,0.94555,0.94835,132554
16/07/2013 00:00,0.9484,0.9495,0.93784,0.94034,134238
17/07/2013 00:00,0.94034,0.94453,0.9359,0.94123,134642
18/07/2013 00:00,0.94121,0.94775,0.94052,0.94442,112109
19/07/2013 00:00,0.94442,0.94613,0.93965,0.94087,97833
21/07/2013 00:00,0.94092,0.94152,0.9389,0.93945,3711
22/07/2013 00:00,0.9394,0.94075,0.9322,0.93586,204174
23/07/2013 00:00,0.93576,0.94065,0.93418,0.93487,215532
24/07/2013 00:00,0.93492,0.93882,0.93399,0.93793,229647
25/07/2013 00:00,0.93789,0.93945,0.92827,0.92985,226480
26/07/2013 00:00,0.92974,0.93045,0.92635,0.92831,202758
28/07/2013 00:00,0.9281,0.929,0.92747,0.9281,13562
29/07/2013 00:00,0.9281,0.93218,0.92694,0.93099,93643
30/07/2013 00:00,0.93099,0.93239,0.92728,0.92949,105084
31/07/2013 00:00,0.92949,0.93367,0.92277,0.92617,144035
01/08/2013 00:00,0.92616,0.93719,0.92529,0.93651,129506
02/08/2013 00:00,0.9365,0.93892,0.92738,0.9289,115240
04/08/2013 00:00,0.92914,0.92983,0.92796,0.92917,4653
05/08/2013 00:00,0.92917,0.93323,0.92679,0.9274,99398
06/08/2013 00:00,0.92739,0.9296,0.9238,0.92509,108710
07/08/2013 00:00,0.92509,0.92882,0.9207,0.92121,120164
08/08/2013 00:00,0.92122,0.92289,0.91744,0.92009,110446
09/08/2013 00:00,0.92009,0.92291,0.91905,0.9223,79303
11/08/2013 00:00,0.92332,0.92404,0.92162,0.92202,7657
12/08/2013 00:00,0.92204,0.92843,0.92194,0.92644,80320
13/08/2013 00:00,0.92642,0.9348,0.92578,0.93274,110988
14/08/2013 00:00,0.93274,0.93771,0.93243,0.93378,100561
15/08/2013 00:00,0.93379,0.93958,0.92474,0.9254,140926
